borough,neighbourhood,listings,avg_total_price,avg_review_rate
Bronx,Eastchester,28,806.4642857142857,3.107142857142857
Manhattan,Marble Hill,28,596.3378571428572,3.0
Bronx,North Riverdale,27,880.3703703703703,3.3703703703703702
Bronx,Baychester,27,625.925925925926,3.4814814814814814
Queens,Bellerose,26,746.7307692307693,3.3846153846153846
Queens,Whitestone,26,699.5,3.0
Bronx,Fieldston,25,835.52,3.36
Staten Island,Mariners Harbor,25,760.2,3.28
Brooklyn,Dyker Heights,25,741.0,3.2
Bronx,Van Nest,25,693.72,3.2
Staten Island,Great Kills,24,819.5,3.0
Staten Island,Port Richmond,24,672.5416666666666,3.4166666666666665
Bronx,Olinville,23,812.5756521739131,3.0869565217391304
Bronx,Melrose,23,688.7826086956521,3.5652173913043477
Bronx,Westchester Square,23,672.1739130434783,3.652173913043478
Brooklyn,Manhattan Beach,22,833.6363636363636,2.409090909090909
Staten Island,Grant City,22,669.8636363636364,3.227272727272727
Queens,Douglaston,22,586.6336363636364,3.0
Bronx,Castle Hill,22,582.2727272727273,3.0454545454545454
Queens,Jamaica Hills,21,975.4761904761905,2.6666666666666665
Staten Island,Shore Acres,21,966.1428571428571,3.6666666666666665
Bronx,East Morrisania,21,917.5238095238095,3.142857142857143
Bronx,Unionport,21,650.2380952380952,3.6666666666666665
Brooklyn,Sea Gate,20,687.25,3.0
Bronx,Riverdale,19,922.578947368421,3.210526315789474
Staten Island,Grymes Hill,18,811.1111111111111,3.7222222222222223
Bronx,Mount Eden,18,773.5,3.7777777777777777
Staten Island,New Springville,18,646.6666666666666,3.3333333333333335
Staten Island,Midland Beach,17,955.3529411764706,3.2941176470588234
Staten Island,South Beach,16,615.375,3.6875
Staten Island,New Brighton,15,836.4,3.2
Brooklyn,Mill Basin,14,930.2857142857143,3.7857142857142856
Staten Island,Rosebank,14,628.1428571428571,3.9285714285714284
Staten Island,Oakwood,14,576.9285714285714,3.857142857142857
Staten Island,Dongan Hills,13,810.1538461538462,3.1538461538461537
Staten Island,Tottenville,13,789.0769230769231,2.3846153846153846
Staten Island,Castleton Corners,13,500.61538461538464,3.3846153846153846
Staten Island,Bull's Head,12,689.0833333333334,3.9166666666666665
Staten Island,New Dorp Beach,11,685.8181818181819,3.5454545454545454
Queens,Holliswood,10,656.3,3.4
Staten Island,Emerson Hill,10,532.3,3.2
Staten Island,Arden Heights,9,965.8888888888889,3.7777777777777777
Staten Island,Huguenot,9,829.5555555555555,4.111111111111111
Staten Island,Silver Lake,9,693.8888888888889,4.0
Queens,Breezy Point,9,371.6666666666667,3.111111111111111
Bronx,Spuyten Duyvil,9,352.1111111111111,2.888888888888889
Queens,Little Neck,8,981.25,3.875
Manhattan,Manhattan,8,864.0,3.625
Queens,Bay Terrace,8,762.0,3.625
Staten Island,Prince's Bay,8,573.375,3.125
Brooklyn,Brooklyn,7,880.1428571428571,3.0
Staten Island,Graniteville,7,879.0,2.7142857142857144
Staten Island,Eltingville,7,854.5714285714286,4.0
Staten Island,Todt Hill,7,848.4285714285714,4.0
Queens,Neponsit,7,758.2857142857143,3.5714285714285716
Staten Island,Howland Hook,6,788.8333333333334,1.6666666666666667
Bronx,West Farms,6,555.8333333333334,4.0
Manhattan,Williamsburg,5,865.0,4.0
Bronx,Co-op City,5,633.4,4.4
Staten Island,Westerleigh,5,572.8,3.6
Staten Island,Richmondtown,5,448.0,3.2
Staten Island,New Dorp,4,1254.25,3.25
Staten Island,"Bay Terrace, Staten Island",4,515.5,3.5
Staten Island,Woodrow,3,851.3333333333334,4.0
